aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance
149153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Pseudo-nitzschia delicatissima complex,NA,,not determined,0,NA,NA,36960000,0.008061356,NA,NA,NA,NA,36960000,0.009108479,NA,NA
582421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Radiolarian,Radiolarian A,NA,,not determined,0,NA,NA,36408739,0.007941121,36279750,0.082812604,259,2.2272423557860577e-4,NA,NA,128730,0.005293036
149118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Bacteriastrum spp.,NA,,not determined,0,NA,NA,34605000,0.007547707,NA,NA,NA,NA,34605000,0.00852811,NA,NA
149023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Ditylum brightwellii,NA,,not determined,0,NA,NA,28050000,0.006117994,NA,NA,NA,NA,28050000,0.006912685,NA,NA
109972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium pentagonum,NA,,not determined,0,NA,NA,26580000,0.005797372,NA,NA,NA,NA,26580000,0.006550416,NA,NA
109982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium tripos,NA,,not determined,0,NA,NA,26550000,0.005790828,NA,NA,NA,NA,26550000,0.006543023,NA,NA
1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Foraminiferan,Foram A,NA,,not determined,0,NA,NA,23008864,0.00501847,21267300,0.048545001,868,7.464271678850571e-4,NA,NA,1740696,0.071572805
732976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tintinnid,Tintinnina,NA,,not determined,0,NA,NA,20023398,0.004367309,20007150,0.045668567,6,5.1596348010487815e-6,NA,NA,16242,6.678279850763759e-4
109566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Prorocentrum spp.,NA,,not determined,0,NA,NA,19095000,0.004164816,NA,NA,NA,NA,19095000,0.004705801,NA,NA
109964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium longipes,NA,,not determined,0,NA,NA,18060000,0.003939072,NA,NA,NA,NA,18060000,0.004450734,NA,NA
