aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance,global_totalAbundance,global_relativeAbundance,auscpr_totalAbundance,auscpr_relativeAbundance,natlantic_totalAbundance,natlantic_relativeAbundance,npacific_totalAbundance,npacific_relativeAbundance,socpr_totalAbundance,socpr_relativeAbundance
1076,Cladocera,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Branchiopoda,Cladocera,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1076,Unaccepted; Cladocera,Cladoceran,Cladocera unidentified,NA,[3] Comprised of omni and carni,not determined,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
106272,Penilia avirostris,Penilia avirostris,2581,"Dana, 1849",220,Species,106266,Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Penilia,Penilia avirostris,urn:lsid:marinespecies.org:taxname:106272,"Penilia avirostris Dana, 1849",Cladoceran,Penilia avirostris,omnivore,[3] and Brancelj et al. 1997; 10.1023/A:1003180030116 - filter-feeder,not determined,0,NA,NA,1893051,4.128939043636256e-4,1730100,0.003949148,162951,0.14012794174428334,NA,NA,NA,NA,108632.548,7.267256963773071e-5,108632.548,0.1378525536752317,NA,NA,NA,NA,NA,NA
247981,Pleopis polyphemoides,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Pleopis,Pleopis polyphemoides,urn:lsid:marinespecies.org:taxname:247981,"Pleopis polyphemoides (Leuckart, 1859)",Cladoceran,Pleopis polyphemoides,NA,NA,not determined,0,NA,NA,9,1.962992618409451e-9,NA,NA,9,7.739452201573172e-6,NA,NA,NA,NA,6,4.0138561218906906e-9,6,7.613881265598135e-6,NA,NA,NA,NA,NA,NA
106269,Podon,Podon,2582,"Lilljeborg, 1853",180,Genus,106264,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Podon,NA,urn:lsid:marinespecies.org:taxname:106269,"Podon Lilljeborg, 1853",Cladoceran,Podon spp.,omnivore,[3],omnivore; carnivore,0,NA,NA,3397707,7.410748622797914e-4,3379650,0.007714431,1998,0.001718158,16050,3.955386771192679e-6,9,3.700561424508917e-7,2683834.7015002915,0.0017954210577932697,1331.7015,0.0016899028503698224,2677150.0000002915,NA,5350,3.954391143519123e-6,3,3.699203006712204e-7
106276,Podon intermedius,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Podon,Podon intermedius,urn:lsid:marinespecies.org:taxname:106276,"Podon intermedius Lilljeborg, 1853",Cladoceran,Podon intermedius,omnivore,Derived at genus level,not determined,0,NA,NA,834,1.8190398263927586e-7,NA,NA,834,7.171892373457806e-4,NA,NA,NA,NA,555.966,3.7192792211051324e-7,555.966,7.055098519515888e-4,NA,NA,NA,NA,NA,NA
106278,Pseudevadne tergestina,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Pseudevadne,Pseudevadne tergestina,urn:lsid:marinespecies.org:taxname:106278,"Pseudevadne tergestina Claus, 1877",Cladoceran,Pseudevadne tergestina,omnivore,NA,not determined,0,NA,NA,4890,1.0665593226691352e-6,NA,NA,4890,0.004205102,NA,NA,NA,NA,3261.5944,2.1819284415940657e-6,3261.5944,0.004138898749689965,NA,NA,NA,NA,NA,NA
11707,Cephalopoda,Cephalopoda,5413,"Cuvier, 1795",60,Class,51,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:11707,"Cephalopoda Cuvier, 1795",NA,Cephalopoda,carnivore,NA,not determined,0,NA,NA,556,1.212693217595172e-7,300,6.847836920681128e-7,16,1.3759026136130085e-5,240,5.914597041035781e-8,NA,NA,562.639500012,3.7639233359011387e-7,10.6395,1.3501314954221893e-5,472.000000012,NA,80,5.913108251991212e-8,NA,NA
11716,Teuthida,Teuthida,6133,"Naef, 1916",100,Order,325342,Animalia,Mollusca,Cephalopoda,Teuthida,NA,NA,NA,urn:lsid:marinespecies.org:taxname:11716,"Teuthida Naef, 1916",NA,Teuthida indet,carnivore,NA,not determined,0,NA,NA,309,6.73960798987245e-8,NA,NA,NA,NA,NA,NA,309,1.2705260890813948e-5,103,6.890453009245685e-8,NA,NA,NA,NA,NA,NA,103,1.27005969897119e-5
104108,Acartia,Acartia,318,"Dana, 1846",180,Genus,104074,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,urn:lsid:marinespecies.org:taxname:104108,"Acartia Dana, 1846",Calanoid,Acartia spp.,omnivore,[1] [A],omnivore; herbivore,0,omni,FALSE,13122966,0.002862254,12746100,0.029094405,15543,0.013366034,347400,8.561379216899293e-5,13923,5.724768523715294e-4,130813.67540000001,8.751121197188527e-5,10372.6754,0.013162719817031774,NA,NA,115800,8.559224194757279e-5,4641,5.722667051383779e-4
346037,Acartia (Acartiura) longiremis,Acartia (Acartiura) longiremis,352,"(Lilljeborg, 1853)",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) longiremis,urn:lsid:marinespecies.org:taxname:346037,"Acartia (Acartiura) longiremis (Lilljeborg, 1853)",Calanoid,Acartia longiremis,omnivore,[1] [A],suspension feeder,0,NA,NA,1015950,2.2158915007478692e-4,NA,NA,NA,NA,1015950,2.5037228599334593e-4,NA,NA,677300,4.530974585594274e-4,NA,NA,NA,NA,677300,5.00618527384206e-4,NA,NA
346037,Acartia (Acartiura) longiremis,Acartia (Acartiura) longiremis,352,"(Lilljeborg, 1853)",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) longiremis,urn:lsid:marinespecies.org:taxname:346037,"Acartia (Acartiura) longiremis (Lilljeborg, 1853)",Calanoid,Acartia longiremis,omnivore,[1] [A],omnivore; herbivore,0,NA,NA,1015950,2.2158915007478692e-4,NA,NA,NA,NA,1015950,2.5037228599334593e-4,NA,NA,677300,4.530974585594274e-4,NA,NA,NA,NA,677300,5.00618527384206e-4,NA,NA
346042,Acartia (Acartiura) tranteri,Acartia (Acartiura) tranteri,357,"Bradford, 1976",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) tranteri,urn:lsid:marinespecies.org:taxname:346042,"Acartia (Acartiura) tranteri Bradford, 1976",Calanoid,Acartia tranteri,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,23235,5.067792609860401e-6,NA,NA,23232,0.019978106,NA,NA,3,1.2335204748363058e-7,15487.0515,1.0360466078885233e-5,15486.0515,0.01965149289898965,NA,NA,NA,NA,1,1.2330676689040678e-7
346026,Acartia (Acartia) danae,Acartia (Acartia) danae,337,"Giesbrecht, 1889",220,Species,104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartia) danae,urn:lsid:marinespecies.org:taxname:346026,"Acartia (Acartia) danae Giesbrecht, 1889",Calanoid,Acartia danae,omnivore,[1] [A],omnivore; herbivore,0,omni,TRUE,23008,5.0182815738182955e-6,13650,3.115765798909913e-5,4693,0.004035694,4650,1.1459531767006825e-6,15,6.167602374181528e-7,4682.980100000001,3.1328013905128798e-6,3127.9801,0.003969344847092297,NA,NA,1550,1.1456647238232973e-6,5,6.16533834452034e-7
