aphiaID,taxonID,class,order,scientificName,taxon_cpr_list,FG_complete,filter_or_not
104513,1441,Copepoda,Calanoida,Microcalanus pygmaeus,Microcalanus pygmaeus,omnivore,0
104542,NA,NA,NA,NA,Rhincalanus cornutus,omnivore,0
104543,2078,Copepoda,Calanoida,Rhincalanus nasutus,Rhincalanus nasutus f,omnivore,0
104543,2078,Copepoda,Calanoida,Rhincalanus nasutus,Rhincalanus nasutus f,omnivore,0
104544,2296,Copepoda,Calanoida,Subeucalanus crassus,Subeucalanus crassus f,omnivore,0
104545,2300,Copepoda,Calanoida,Subeucalanus monachus,Subeucalanus monachus f,omnivore,0
104546,2301,Copepoda,Calanoida,Subeucalanus mucronatus,Subeucalanus mucronatus f,omnivore,0
104547,2302,Copepoda,Calanoida,Subeucalanus pileatus,Subeucalanus pileatus f,omnivore,0
104548,2303,Copepoda,Calanoida,Subeucalanus subcrassus,Subeucalanus subcrassus f,omnivore,0
104549,2304,Copepoda,Calanoida,Subeucalanus subtenuis,Subeucalanus subtenuis f,omnivore,0
104550,1016,Copepoda,Calanoida,Euchaeta acuta,Euchaeta acuta f,carnivore,0
104551,1017,Copepoda,Calanoida,Euchaeta concinna,Euchaeta concinna f,carnivore,0
104552,1021,Copepoda,Calanoida,Euchaeta marina,Euchaeta marina gp f,carnivore,0
104553,1023,Copepoda,Calanoida,Euchaeta media,Euchaeta media f,carnivore,0
104557,NA,NA,NA,NA,Paraeuchaeta barbata,carnivore,0
104560,1598,Copepoda,Calanoida,Paraeuchaeta glacialis,Paraeuchaeta glacialis,carnivore,0
104561,1600,Copepoda,Calanoida,Paraeuchaeta gracilis,Paraeuchaeta gracilis,carnivore,0
104563,1605,Copepoda,Calanoida,Paraeuchaeta hebes,Paraeuchaeta hebes,carnivore,0
104566,1614,Copepoda,Calanoida,Paraeuchaeta norvegica,Paraeuchaeta norvegica,carnivore,0
104573,1649,Copepoda,Calanoida,Paraeuchaeta tumidula,Paraeuchaeta tumidula f,carnivore,0
104576,1173,Copepoda,Calanoida,Heterorhabdus abyssalis,Heterorhabdus abyssalis,carnivore,0
104576,1173,Copepoda,Calanoida,Heterorhabdus abyssalis,Heterorhabdus abyssalis,carnivore,0
104579,1191,Copepoda,Calanoida,Heterorhabdus norvegicus,Heterorhabdus norvegicus,carnivore,0
104580,1194,Copepoda,Calanoida,Heterorhabdus papilliger,Heterorhabdus papilliger,carnivore,0
104580,1194,Copepoda,Calanoida,Heterorhabdus papilliger,Heterorhabdus papilliger,carnivore,0
104582,1201,Copepoda,Calanoida,Heterorhabdus spinifer,Heterorhabdus spinifer f,carnivore,0
104583,1202,Copepoda,Calanoida,Heterorhabdus spinifrons,Heterorhabdus spinifrons m,carnivore,0
104583,1202,Copepoda,Calanoida,Heterorhabdus spinifrons,Heterorhabdus spinifrons m,carnivore,0
104595,1321,Copepoda,Calanoida,Lucicutia clausi,Lucicutia clausi m,omnivore,0
104595,1321,Copepoda,Calanoida,Lucicutia clausi,Lucicutia clausi m,omnivore,0
104597,1324,Copepoda,Calanoida,Lucicutia flavicornis,Lucicutia flavicornis,omnivore,0
104597,1324,Copepoda,Calanoida,Lucicutia flavicornis,Lucicutia flavicornis,omnivore,0
104597,1324,Copepoda,Calanoida,Lucicutia flavicornis,Lucicutia flavicornis,omnivore,0
104609,1342,Copepoda,Calanoida,Lucicutia ovalis,Lucicutia ovalis f,omnivore,0
104609,1342,Copepoda,Calanoida,Lucicutia ovalis,Lucicutia ovalis f,omnivore,0
104609,1342,Copepoda,Calanoida,Lucicutia ovalis,Lucicutia ovalis f,omnivore,0
104616,1376,Copepoda,Calanoida,Mecynocera clausi,Mecynocera clausi,omnivore,0
104632,1426,Copepoda,Calanoida,Metridia longa,Metridia longa,omnivore,0
104632,1426,Copepoda,Calanoida,Metridia longa,Metridia longa,omnivore,0
104633,NA,NA,NA,NA,Metridia lucens,omnivore,0
104637,NA,NA,NA,NA,Pleuromamma abdominalis,omnivore,0
104638,1761,Copepoda,Calanoida,Pleuromamma borealis,Pleuromamma borealis,omnivore,0
104639,NA,NA,NA,NA,Pleuromamma gracilis,omnivore,0
104640,1765,Copepoda,Calanoida,Pleuromamma piseki,Pleuromamma piseki,omnivore,0
104642,NA,NA,NA,NA,Pleuromamma robusta,omnivore,0
104643,1769,Copepoda,Calanoida,Pleuromamma xiphias,Pleuromamma xiphias f,omnivore,0
104643,1769,Copepoda,Calanoida,Pleuromamma xiphias,Pleuromamma xiphias f,omnivore,0
104645,392,Copepoda,Calanoida,Acrocalanus gibber,Acrocalanus gibber f,omnivore,0
104646,394,Copepoda,Calanoida,Acrocalanus longicornis,Acrocalanus longicornis f,omnivore,0
104669,673,Copepoda,Calanoida,Calocalanus pavo,Calocalanus pavo f,omnivore,0
104673,683,Copepoda,Calanoida,Calocalanus styliremis,Calocalanus styliremis f,omnivore,0
104681,NA,NA,NA,NA,Paracalanus aculeatus,omnivore,0
104682,1537,Copepoda,Calanoida,Paracalanus denudatus,Paracalanus denudatus f,omnivore,0
104683,1539,Copepoda,Calanoida,Paracalanus indicus,Paracalanus indicus f,omnivore,0
104686,1688,Copepoda,Calanoida,Parapontella brevicornis,Parapontella brevicornis,carnivore,0
104698,1743,Copepoda,Calanoida,Phaenna spinifera,Phaenna spinifera f,omnivore,0
104722,NA,NA,NA,NA,Anomalocera patersoni,omnivore,0
104724,614,Copepoda,Calanoida,Calanopia elliptica,Calanopia elliptica f,carnivore,0
104726,1242,Copepoda,Calanoida,Labidocera acuta,Labidocera acuta f,carnivore,0
104727,1243,Copepoda,Calanoida,Labidocera acutifrons,Labidocera acutifrons f,carnivore,0
104730,1258,Copepoda,Calanoida,Labidocera detruncata,Labidocera detruncata f,carnivore,0
104735,1284,Copepoda,Calanoida,Labidocera pavo,Labidocera pavo f,carnivore,0
104736,1293,Copepoda,Calanoida,Labidocera wollastoni,Labidocera wollastoni,carnivore,0
104740,1803,Copepoda,Calanoida,Pontella securifer,Pontella securifer f,carnivore,0
104743,1817,Copepoda,Calanoida,Pontellina plumata,Pontellina plumata f,carnivore,0
104790,2126,Copepoda,Calanoida,Scaphocalanus brevicornis,Scaphocalanus brevicornis f,omnivore,0
104793,2132,Copepoda,Calanoida,Scaphocalanus echinatus,Scaphocalanus echinatus f,omnivore,0
104811,NA,NA,NA,NA,Scolecithricella minor,omnivore,0
104820,2173,Copepoda,Calanoida,Scolecithrix bradyi,Scolecithrix bradyi f,omnivore,0
104821,2174,Copepoda,Calanoida,Scolecithrix danae,Scolecithrix danae f,omnivore,0
104878,2316,Copepoda,Calanoida,Temora longicornis,Temora longicornis,omnivore,0
104879,2317,Copepoda,Calanoida,Temora stylifera,Temora stylifera m,omnivore,0
104879,2317,Copepoda,Calanoida,Temora stylifera,Temora stylifera m,omnivore,0
104880,2318,Copepoda,Calanoida,Temora turbinata,Temora turbinata,omnivore,0
104881,2336,Copepoda,Calanoida,Temoropia mayumbaensis,Temoropia mayumbaensis m,omnivore,0
104906,NA,NA,NA,NA,Branchiostoma lanceolatum,na,0
105406,2533,Sagittoidea,Aphragmophora,Flaccisagitta,Flaccisagitta spp.,carnivore,0
105409,2551,Sagittoidea,Aphragmophora,Pseudosagitta,Pseudosagitta sp.,carnivore,0
105416,2526,Sagittoidea,Phragmophora,Eukrohnia hamata,Eukrohnia hamata,carnivore,0
105434,2534,Sagittoidea,Aphragmophora,Flaccisagitta enflata,Flaccisagitta enflata,carnivore,0
105464,2566,Sagittoidea,Aphragmophora,Serratosagitta serratodentata,Serratosagitta serratodentata,carnivore,0
105465,2567,Sagittoidea,Aphragmophora,Serratosagitta tasmanica,Serratosagitta tasmanica,carnivore,0
106087,NA,NA,NA,NA,Lepas nauplii,omnivore,0
106267,2577,Branchiopoda,Onychopoda,Evadne,Evadne spp f gravid,carnivore,0
106269,2582,Branchiopoda,Onychopoda,Podon,Podon spp.,carnivore,0
106272,2581,Branchiopoda,Ctenopoda,Penilia avirostris,Penilia avirostris,omnivore,0
106273,2578,Branchiopoda,Onychopoda,Evadne nordmanni,Evadne nordmanni,carnivore,0
106274,NA,NA,NA,NA,Evadne spinifera,carnivore,0
106276,NA,NA,NA,NA,Podon intermedius,carnivore,0
106278,NA,NA,NA,NA,Pseudevadne tergestina,carnivore,0
106485,4053,Copepoda,Cyclopoida,Oithona,Oithona Grp1 (flat head) f,omnivore,0
106642,4057,Copepoda,Cyclopoida,Oithona atlantica,Oithona atlantica f,omnivore,0
106644,4066,Copepoda,Cyclopoida,Oithona decipiens,Oithona decipiens f,omnivore,0
106649,4077,Copepoda,Cyclopoida,Oithona longispina,Oithona longispina f,omnivore,0
106651,4078,Copepoda,Cyclopoida,Oithona nana,Oithona nana f,omnivore,0
106652,4083,Copepoda,Cyclopoida,Oithona plumifera,Oithona plumifera,omnivore,0
106656,4091,Copepoda,Cyclopoida,Oithona similis,Oithona similis,omnivore,0
106656,4091,Copepoda,Cyclopoida,Oithona similis,Oithona similis,omnivore,0
106658,4093,Copepoda,Cyclopoida,Oithona tenuis,Oithona tenuis f,omnivore,0
106669,2739,Malacostraca,Decapoda,Dendrobranchiata,Dendrobranchiata larvae,omnivore,0
106671,2706,Malacostraca,Decapoda,Anomura,Anomura megalopa larvae,omnivore,0
106673,2713,Malacostraca,Decapoda,Brachyura,Brachyuran megalopa,omnivore,0
106674,2721,Malacostraca,Decapoda,Caridea,Caridea megalopa larvae,omnivore,0
106731,2985,Malacostraca,Decapoda,Sergestidae,Sergestid protozoea,omnivore,0
106734,2963,Malacostraca,Decapoda,Porcellanidae,Porcelain crab zoea,omnivore,0
106758,NA,NA,NA,NA,Leucosiid zoea,omnivore,0
106776,2702,Malacostraca,Decapoda,Alpheidae,Alpheid zoea,omnivore,0
106800,2714,Malacostraca,Decapoda,Callianassidae,Callianassidae zoea,omnivore,0
106827,2826,Malacostraca,Decapoda,Lucifer,Lucifer spp.,carnivore,0
106992,2829,Malacostraca,Decapoda,Lysmata,Lysmata spp.,omnivore,0
107018,2687,Malacostraca,Decapoda,Acanthephyra,Ephyra larva,omnivore,0
107060,2906,Malacostraca,Decapoda,Panulirus,Phyllosoma larvae,carnivore,0
107122,2827,Malacostraca,Decapoda,Lucifer typus,Lucifer typus f,carnivore,0
109462,NA,NA,NA,NA,Dinophysis spp. Total,na,0
109466,NA,NA,NA,NA,Phalacroma spp.,na,0
109475,5629,Dinophyceae,Gymnodiniales,Gymnodinium,Gymnodinium spp.,na,0
109509,NA,NA,NA,NA,Cladopyxis spp.,na,0
109519,NA,NA,NA,NA,Gonyaulax spp.,na,0
109528,NA,NA,NA,NA,Oxytoxum spp.,na,0
109538,5600,Dinophyceae,Peridiniales,Glenodinium,Glenodinium spp.,na,0
109545,NA,NA,NA,NA,Scrippsiella spp.,na,0
109550,NA,NA,NA,NA,Podolampas spp.,na,0
109553,NA,NA,NA,NA,Protoperidinium spp.,na,0
109555,NA,NA,NA,NA,Pyrophacus spp.,na,0
109566,NA,NA,NA,NA,Prorocentrum spp. Total,na,0
109571,NA,NA,NA,NA,Pyrocystis spp.,na,0
109717,NA,NA,NA,NA,Actiniscus pentasterias,na,0
109903,NA,NA,NA,NA,Pronoctiluca pelagica,na,0
109921,5839,Dinophyceae,Noctilucales,Noctiluca scintillans,Noctiluca scintillans,na,0
109929,NA,NA,NA,NA,Ceratium arietinum,na,0
109930,NA,NA,NA,NA,Ceratium azoricum,na,0
109931,NA,NA,NA,NA,Ceratium belone,na,0
109932,NA,NA,NA,NA,Ceratium breve,na,0
109934,NA,NA,NA,NA,Ceratium buceros,na,0
109935,NA,NA,NA,NA,Ceratium candelabrum,na,0
109936,NA,NA,NA,NA,Ceratium carriense,na,0
109943,NA,NA,NA,NA,Ceratium declinatum,na,0
109947,NA,NA,NA,NA,Ceratium extensum,na,0
109950,NA,NA,NA,NA,Ceratium furca,na,0
109951,NA,NA,NA,NA,Ceratium fusus,na,0
109953,NA,NA,NA,NA,Ceratium gibberum,na,0
109955,NA,NA,NA,NA,Ceratium hexacanthum,na,0
109956,NA,NA,NA,NA,Ceratium horridum,na,0
109963,NA,NA,NA,NA,Ceratium lineatum,na,0
109964,NA,NA,NA,NA,Ceratium longipes,na,0
109965,NA,NA,NA,NA,Ceratium longirostrum,na,0
109967,NA,NA,NA,NA,Ceratium macroceros,na,0
109968,NA,NA,NA,NA,Ceratium massiliense,na,0
109969,NA,NA,NA,NA,Ceratium minutum,na,0
109971,NA,NA,NA,NA,Ceratium pavillardii,na,0
109972,NA,NA,NA,NA,Ceratium pentagonum,na,0
109974,NA,NA,NA,NA,Ceratium pulchellum,na,0
109977,NA,NA,NA,NA,Ceratium setaceum,na,0
109980,NA,NA,NA,NA,Ceratium teres,na,0
109981,NA,NA,NA,NA,Ceratium trichoceros,na,0
109982,NA,NA,NA,NA,Ceratium tripos,na,0
109983,NA,NA,NA,NA,Ceratium vultur,na,0
110005,NA,NA,NA,NA,Amphidoma caudata,na,0
110178,NA,NA,NA,NA,Blepharocysta paulsenii,na,0
110671,3030,Malacostraca,Euphausiacea,Euphausiidae,Euphausid larvae,omnivore,0
110673,3014,Malacostraca,Euphausiacea,Euphausia,Euphausia spp.,omnivore,0
110677,3039,Malacostraca,Euphausiacea,Nyctiphanes,Nyctiphanes spp.,omnivore,0
110678,3043,Malacostraca,Euphausiacea,Stylocheiron,Stylocheiron spp.,carnivore,0
110679,3049,Malacostraca,Euphausiacea,Thysanoessa,Thysanoessa spp.,omnivore,0
110685,NA,NA,NA,NA,Euphausia hanseni,omnivore,0
110695,3038,Malacostraca,Euphausiacea,Nematoscelis megalops,Nematoscelis megalops,omnivore,0
